Cluster ID,confidence_score,﻿Id,Name
33,1.0,0,高雅艺术
34,1.0,1,欧洲文学
35,1.0,2,人生哲学
36,1.0,3,程序设计
0,0.9999997121904723,4,美食品鉴
1,0.9999997610301633,5,影视欣赏
2,0.9999997,6,时事政治
3,0.9999998,7,佳肴美酒
0,0.9999997671360272,8,美与生活
4,0.9999997343936314,9,听音乐
5,0.9999997513693141,10,看电影
8,0.9999997,11,打篮球
37,1.0,12,rushB
5,0.9999997513693141,13,看电影
9,0.9999997019767761,14,阅读
4,0.9999997343936314,15,听歌
10,0.9999997,16,唱歌
6,0.9999997284879214,17,篮球
9,0.9999997019767761,18,阅读
38,1.0,19,演讲
0,0.9999997076780658,20,美食
11,0.9999997214086692,21,电影
12,0.9999997356705925,22,乒乓球
0,0.9999997076780658,23,美食
13,0.9999997401893769,24,手工
5,0.9999997478223348,25,看书
4,0.9999997343936314,26,听音乐
10,0.9999997,27,唱歌
4,0.9999997343936314,28,听音乐
5,0.9999997642035431,29,看电视剧
12,0.9999998211860657,30,拼装
5,0.9999997726412878,31,看小说
14,0.9999997796508371,32,追星
1,0.9999997095795214,33,音乐
15,0.999999707998068,34,睡觉
1,0.9999997095795214,35,音乐
11,0.9999997214086692,36,电影
9,0.9999997019767761,37,阅读
1,0.9999997095795214,38,音乐
11,0.9999997214086692,39,电影
18,0.9999997019767761,40,动漫
0,0.9999997076780658,41,美食
1,0.9999997095795214,42,音乐
9,0.9999997019767761,43,阅读
16,0.9999997892657575,44,吃饭
15,0.999999707998068,45,睡觉
9,0.9999997019767761,46,阅读
39,1.0,47,打游戏
1,0.9999997095795214,48,音乐
5,0.9999997513693141,49,看电影
8,0.9999997,50,打篮球
19,0.9999997019767761,51,跑步
5,0.9999997478223348,52,看书
40,1.0,53,踢足球
41,1.0,54,骑车
11,0.9999997214086692,55,电影
1,0.9999997095795214,56,音乐
15,0.999999707998068,57,睡觉
0,0.9999997076780658,58,美食
15,0.999999707998068,59,睡觉
6,0.9999997284879214,60,篮球
6,0.9999997681923332,61,台球
20,0.9999997087594824,62,游戏
0,0.9999997076780658,63,美食
21,0.9999997019767761,64,旅游
2,0.9999997,65,时事政治
42,1.0,66,历史趣事
43,1.0,67,科学百科
20,0.9999997087594824,68,游戏小说
44,1.0,69,聊天科普
1,0.9999997127685488,70,音乐绘画
45,1.0,71,多写一个
1,0.9999997095795214,72,音乐
20,0.9999997615814209,73,游玩
15,0.999999707998068,74,睡觉
