Cluster ID,confidence_score,﻿Id,Name
29,0.9999997019767761,229,羽毛球
29,0.9999997019767761,230,羽毛球
4,0.9999997343936314,231,听歌
5,0.9999997863358459,232,看漫画和小说
6,0.9999998211860657,233,打球
59,1.0,234,吉他
11,0.9999997697448817,235,电竞
1,0.9999997095795214,236,音乐
19,0.9999997019767761,237,跑步
20,0.9999997087594824,238,游戏
22,0.9999997019767761,239,小说
1,0.9999997095795214,240,音乐
20,0.9999997087594824,241,游戏
22,0.9999997019767761,242,小说
1,0.9999997095795214,243,音乐
29,0.9999997019767761,244,羽毛球
60,1.0,245,足球
1,0.9999997095795214,246,音乐
20,0.9999997087594824,247,游戏
25,0.9999997019767761,248,运动
1,0.9999997095795214,249,音乐
14,0.9999997566650567,250,追剧
1,0.9999997095795214,251,音乐
6,0.9999997284879214,252,篮球
9,0.9999997019767761,253,阅读
1,0.9999997095795214,254,音乐
9,0.9999997019767761,255,阅读
0,0.9999997076780658,256,美食
26,0.9999997129060131,257,画画
20,0.9999997087594824,258,游戏
5,0.9999997478223348,259,看书
1,0.9999997095795214,260,音乐
11,0.9999997214086692,261,电影
